導演1分數,導演2分數,導演3分數,演員1分數,演員2分數,演員3分數,演員4分數,編劇1分數,編劇2分數,編劇3分數,編劇4分數
-1,-1,-1,651,23787,2108,825,-1,-1,-1,-1
-1,-1,-1,1977484,537987,-1,-1,-1,-1,-1,-1
-1,-1,-1,2115997,15782,1680985,-1,245,-1,-1,-1
-1,-1,-1,115970,24069,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,465180,-1,30191,-1,-1,-1,-1
135,-1,-1,38723966,31831,9417,450,-1,338,-1,-1
17008,-1,-1,13472688,352152,-1,-1,-1,-1,-1,-1
39655,-1,-1,3637743,94037,75083,984895,39655,-1,-1,-1
6649,-1,-1,-1,1048131,-1,-1,-1,-1,-1,-1
-1,-1,-1,81966022,-1,6867,5427773,2547,-1,-1,-1
-1,-1,-1,2859,-1,484553,19083,-1,-1,-1,-1
-1,-1,-1,1434,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,25143,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,796130,978302,648334,2462184,3822,-1,-1,-1
-1,-1,-1,763423,7058,2091,2462233,-1,-1,-1,-1
-1,-1,-1,4159,-1,-1,-1,-1,-1,-1,-1
7862,-1,-1,1318830,3760874,2314506,-1,7862,-1,-1,-1
417235,-1,-1,417235,-1,-1,-1,417235,-1,-1,-1
-1,-1,-1,1198,4001114,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,188798,-1,-1,-1,-1,-1
-1,-1,-1,4881051,7333394,33795,-1,-1,1919,-1,-1
352418,-1,-1,40459777,55095,2483883,-1,352418,8129,-1,-1
-1,-1,-1,20001,-1,120078,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4573411,-1,-1,-1,-1,168980,-1,-1
-1,-1,-1,18240,875965,-1,-1,12734,1516,-1,-1
-1,-1,-1,41493,104376,157554,6889,-1,-1,-1,-1
9914,-1,-1,41086,5776345,8614,111589,-1,-1,-1,-1
-1,-1,-1,-1,1546,-1,-1,-1,-1,-1,-1
-1,-1,-1,464396,71503,788359,2080,-1,-1,-1,-1
-1,-1,-1,16010492,6826690,36503,-1,-1,-1,-1,-1
224639,-1,-1,-1,-1,-1,-1,224639,313,-1,-1
2583363,43682,-1,1855256,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,36247,-1,198,-1,-1,-1,-1,-1
347569,-1,2838,164724,711588,1074,168005,-1,2838,-1,-1
-1,-1,28608695,10830,7148111,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,48039,852,-1,-1,-1,-1
726,-1,-1,11634,3417313,-1,-1,726,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2922524,2922524,-1,3953254,44119041,605815,32471529,-1,-1,-1,-1
-1,-1,-1,408247,374782,465161,-1,-1,-1,-1,-1
-1,-1,-1,109079,3183,686515,-1,-1,-1,-1,-1
-1,-1,-1,-1,5385,253878,-1,-1,-1,-1,-1
20145,-1,-1,3664051,63068,-1,-1,20145,-1,-1,-1
