上映日期,中文片名,出品,累計銷售金額,google trend,導演,演員1,演員2,演員3,演員4,編劇,製片預算,類型,,喜歡,不喜歡,預告觀看次數
2019/8/30,使徒行者2諜影行動,"影聚天際影視傳媒（天津）有限公司##北京嘉映文化傳媒有限公司##喀什嘉映文化傳媒有限公司	##北京國影縱橫電影發行有限公司	##新疆烈火文化傳媒有限公司	##優酷電影有限公司	##華夏電影發行有限責任公司	##阿里巴巴影業(北京)有限公司	##天津貓眼微影文化傳媒有限公司	##耳東文化(北京)有限公司	##大名娛樂有限公司	##電視廣播有限公司	##天下一電影製作有限公司	##北京嘉映春天影業有限公司	##邵氏兄弟國際影業有限公司	##墨客行影業（北京）有限公司##天馬電影出品(香港)有限公司",4912942,651,文偉鴻,張家輝,古天樂,吳鎮宇,no,關皓月,no,動作、劇情,,445,33,107620
2019/8/30,雙面特務,FREEWAY ENTERTAINMENT KFT.,2597528,0,Yuval Adler,Diane Kruger,Martin Freeman,no,no,Yuval Adler,no,犯罪、懸疑、驚悚,,0,2,406733
2019/8/29,第九分局,華文創股份有限公司##全能製作股份有限公司##樂到家國際娛樂股份有限公司##滿滿額娛樂股份有限公司,56652782,0,王鼎霖,邱澤,?貞菱,澎恰恰,劉奕兒,張國立,no,奇幻、驚悚、犯罪,,2818,84,610662
2019/8/28,劇場版FREE男子游泳部RoadtotheWorld夢,"ABC ANIMATION, INC.",2600494,0,河浪榮作,島崎信長,鈴木達央,宮野真守,?山昂輝,橫谷昌宏,no,動畫、青春,,79,2,10391
2019/8/23,貞子起源,KADOKAWA CORPORATION,3011128,0,中田秀夫,池田依來沙,塚本高史,清水尋也,姬島妃花,杉原憲明、鈴木光司,no,懸疑、驚悚、恐怖,,145,8,29167
2019/8/23,下半場,下半場電影股份有限公司##華研國際音樂(股)公司##國賓影城(股)公司##高雄市電影館##美商華納兄弟(遠東)股份有限公司##逆光電影(股)公司##有享娛樂(股)公司##福斯傳媒有限公司##華策影業(天津)有限公司,22654911,405,張榮吉,范少勳,朱軒洋,吳大維,庹宗華,蔡坤霖,no,劇情、運動,,1414,46,"178,759"
2019/8/23,光,mm2 Entertainment Sdn Bnd##RESERVOIR WORLD Sdn Bnd,854886,2765,郭修篆,莊仲維,張順源,no,no,郭修篆,no,劇情、家庭,,670,10,101025
2019/8/23,殺手寓言,NIPPON TELEVISION NETWORK COPORATION,1912920,0,江口幹,岡田准一,佐藤浩市,木村文乃,山本美月,渡邊雄介、南勝久,no,喜劇、動作、劇情,,105,5,26054
2019/8/21,全面攻佔3天使救援,"NU IMAGE,INC.",146555942,607,Ric Roman Waugh,Gerard Butler,Morgan Freeman,Lance Reddick,Piper Perabo,Robert Mark Kamen、Creighton Rothenberger、Katrin Benedikt,4000萬,動作、驚悚、劇情,,1632,53,"324,733"
2019/8/21,航海王奪寶爭霸戰,TOEI Animation Enterprises Limited,54056953,0,大塚隆史,竹中直人,田中真弓,岡村明美,中井和哉,尾田榮一郎、大塚隆史,no,動作、冒險、動畫,,2779,69,394225
2019/8/16,普羅米亞,東寶株式會社,14925052,0,今石洋之,松山研一,?雅人,no,no,中島一基,no,動畫、冒險、科幻,,424,20,48262
2019/8/16,仙戒奇緣,Gold Valley Films Inc.,1135840,0,Lynne Southerland,no,no,no,no,no,no,動畫、奇幻、科幻、冒險,,105,92,13611
2019/8/16,緝魔,傳遞娛樂傳媒有限公司##華映娛樂股份有限公司,11294649,0,盧豐淵,莊凱勛,邵雨薇,傅孟柏,no,盧豐淵,no,犯罪、驚悚、懸疑,,144,24,502598
2019/8/16,驅魔使者,"LOTTE CULTUREWORKS CO., LTD.",28232522,0,金柱煥_Joo-hwan Kim,朴敘俊,安聖基,禹棹奐,崔宇植,no,no,奇幻、科幻、動作、懸疑、驚悚,,286,13,68998
2019/8/16,炫目之光,WARNER BROS. PICTURES INTERNATIONAL.,1297424,0,Gurinder Chadha,Viveik Kalra,Kulvinder Ghir,no,no,Gurinder Chadha、Paul Mayeda Berges,no,劇情、傳記、音樂、喜劇,,183,11,347199
2019/8/14,憤怒鳥玩電影2冰的啦,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,19553951,0,Thurop Van Orman,Jason Sudeikis,Danny McBride,Josh Gad,Tiffany Haddish,Peter Ackerman,6500萬,動畫、喜劇、家庭、冒險,,1545,78,206474
2019/8/9,蠟筆小新電影新婚旅行風暴奪回廣志大作戰,ADK EMOTIOS INC.,9962290,380,橋本昌和,小林由美子,楢橋美紀,森川智之,真柴摩利,上野貴美子,no,動畫、家庭、喜劇,,492,35,333279
2019/8/9,絕世名伶,(德國)KINOSTAR FILMVERLEIH GMBH,1140751,531,Alexey Uchitel,Lars Eidinger,Michalina Olszanska,Danila Kozlovsky,no,Aleksandr Terekhov、Michael Katims,1500萬,劇情、傳記、歷史,,38,4,15923
2019/8/9,乘浪之約,Fuji Creative Coporation,3029547,0,湯淺政明,片寄涼太,川榮李奈,伊藤健太郎,松本?香,吉田玲子,no,動畫、喜劇、青春,,852,21,87859
2019/8/9,懸案判決,CHARADES,936163,0,Antoine Raimbault,Marina Fo?s,Olivier Gourmet,no,no,Antoine Raimbault、Isabelle Lazard,no,劇情,,200,8,15315
2019/8/9,朵拉與失落的黃金城,PARAMOUNT PICTURES CORPORATION,13895097,0,James Bobin,Isabela Moner,Michael Pe?a,Adriana Barraza,no,Matthew Robinson、Nicholas Stoller,4900萬,家庭、冒險,,618,34,427312
2019/8/7,靈異乍現,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4444821,0,David Yarovesky,Elizabeth Banks,no,no,no,Brian Gunn、Mark Gunn,600萬,恐怖、驚悚、科幻、劇情,,450,14,52552
2019/8/7,在黑暗中說的鬼故事,"eONE FEATURES, LLC",52573629,0,Andr? ?vredal,Michael Garza,Zoe Margaret Colletti,Austin Abrams,Javier Botet,Dan Hageman、Kevin Hageman,2800萬,恐怖、驚悚,,1735,59,373792
2019/8/2,痛苦與榮耀,BATRAX ENTERTAINMENT B.V.,2820922,0,Pedro Almod?var,Antonio Banderas,Pen?lope Cruz,no,no,Pedro Almod?var、Alice Munro,no,劇情,,47,1,276710
2019/7/31,玩命關頭特別行動,UNIVERSAL INTERNATIONAL FILMS LLC,453524734,261,David Leitch,Dwayne Johnson,Jason Statham,Idris Elba,Vanessa Kirby,Chris Morgan、Gary Scott Thompson,2億,動作、冒險,,17000,500,3118756
2019/7/26,人生消極掰,GEM Entertainment Kft.,7419953,0,Wayne Roberts,Johnny Depp,Zoey Deutch,no,no,Wayne Roberts,no,喜劇、劇情,,473,13,112287
2019/7/26,駭客任務,WARNER BROS. PICTURES INTERNATIONAL.,3035297,692,Lana Wachowski、Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Lana Wachowski、Lilly Wachowski,6300萬,科幻、動作,,1294,28,654421
2019/7/26,鬼學怨,"CJ ENM CO., LTD.",4346252,0,Awi Suryadi,no,no,no,no,Awi Suryadi,no,恐怖,,107,13,51667
2019/7/26,電影哆啦A夢大雄的月球探測記,"TOHO CO., LTD.",21752086,0,八鍬新之介,水田山葵,大原惠,嘉數由美,關智一,?村深月,no,動畫、冒險,,997,48,130395
2019/7/26,漫長的告別,"ASMIK ACE, INC.",902446,624,中野量太,蒼井優,竹內結子,松原智惠子,山崎努,中野量太,no,劇情,,124,1,10353
2019/7/24,從前有個好萊塢,"Bona Film Investment Company (Pacific RIM, USA)",37415025,0,Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Luke Perry,Quentin Tarantino,9500萬,喜劇、劇情,,579,17,68282
2019/7/19,電流大戰,Lantern Entertainment LLC,22676205,0,Alfonso Gomez-Rejon,Benedict Cumberbatch,Katherine Waterston,Tom Holland,Nicholas Hoult,Michael Mitnick,no,劇情、傳記、歷史,,1734,87,265580
2019/7/19,城市獵人劇場版新宿PrivateEyes,Aniplex Inc.,1786088,0,Philippe Lacheau,Philippe Lacheau,no,no,,Philippe Lacheau,,動作、喜劇,,560,4,43122
2019/7/19,灼人秘密,"岸上影像有限公司,禾豐九路娛樂有限公司,爵士電影製作公司 JAZZY PICTURES (M) SDN. BHD.",7346364,0,趙德胤,吳可熙,夏于喬,宋芸樺,鄭人碩,趙德胤、吳可熙,no,劇情,,714,24,110058
2019/7/19,首席指揮家,Incredible Film BV,1419055,0,Maria Peters,Christanne de Bruijn,no,no,no,Maria Peters,no,劇情、傳記,,151,2,8905
2019/7/17,獅子王,"BUENA VISTA INTERNATIONAL, INC.",314146542,655,Jon Favreau,Seth Rogen,Donald Glover,Keegan-Michael Key,Beyonc?,Jeff Nathanson,no,家庭、劇情、冒險、動畫,,3949,93,549365
2019/7/12,仲夏魘,"A24 INTERNATIONAL, LLC",2449440,0,Ari Aster,Jack Reynor,Will Poulter,no,no,Ari Aster,no,恐怖、驚悚、懸疑,,125,4,29762
2019/7/12,鱷魔,PARAMOUNT PICTURES CORPORATION,28674749,0,Alexandre Aja,Kaya Scodelario,Barry Pepper,no,no,Michael Rasmussen、Shawn Rasmussen,1350萬,恐怖、驚悚,,822,62,351040
2019/7/11,王者天下,Columbia Pictures Industries Inc,5120007,1868,佐藤信介,山崎賢人_Yamazaki Kento,吉澤亮_Ryo Yoshizawa,長澤雅美_Masami Nagasawa,橋本環奈_Kanna Hashimoto,佐藤信介,no,動作、戰爭、歷史,,455,17,472164
2019/7/10,名偵探柯南紺青之拳,株式?社?????????????,109601774,0,永岡智佳,高山南,山口勝平,山崎和佳奈,小山力也,大倉崇裕,no,懸疑、動畫、動作、冒險,,3059,63,312725
2019/7/5,掃毒2天地對決,寰宇娛樂有限公司##廣東昇格傳媒股份有限公司##銀都機構有限公司##映藝娛樂有限公司##太陽娛樂文化有限公司##北京合瑞影業文化有限公司,40770948,857,邱禮濤,劉德華,古天樂,苗僑偉,林嘉欣,李敏、邱禮濤、李昇,no,動作、犯罪,,0,0,329753
2019/7/5,我的青春都是你,群星瑞智國際娛樂股份有限公司##中國信託創業投資股份有限公司##中藝國際影視股份有限公司##安樂影片有限公司##北京中聯華盟文化傳媒投資有限公司##浙江東陽小宇宙影視傳媒有限公司##北京萌樣影視製作有限公司##北京影行天下文化傳播有限公司,1744430,0,周彤、代夢穎,宋威龍,宋芸樺,林妍柔,黃俊捷,no,no,劇情、愛情、喜劇,,948,23,79817
2019/7/5,米開朗基羅無盡之詩,TRUE COLOURS glorious S.r.l.,1466876,0,Emanuele Imbucci,Enrico Lo Verso,no,no,no,no,no,歷史、傳記、劇情,,77,0,13660
2019/7/2,蜘蛛人離家日,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,379559099,0,Jon Watts,Tom Holland,Marisa Tomei,Michael Keaton,Zendaya,Chris McKenna、Erik Sommers,1.6億,動作、冒險、科幻、喜劇,,13000,274,1725942
2019/6/28,如常,財團法人中華民國佛教慈濟慈善事業基金會,10011068,857,謝欣志 、 陳芝安,no,no,no,no,no,no,紀錄,,447,15,60736
2019/6/28,寄生上流,CJ ENM CO. LTD,145407913,0,奉俊昊_BONG Joon-ho,宋康昊_Kang-ho Song,李善均_LEE SUN-KYUN,崔宇植_Choi Woo-shik,朴素丹,奉俊昊_BONG Joon-ho,no,劇情、驚悚,,978,24,241554
2019/6/28,電影版妖怪手錶永遠的朋友,Level 5 abby,1520364,0,高橋滋春,種崎敦美,木村良平,小栗旬,no,no,no,動畫、奇幻,,54,3,72094
2019/6/28,靠譜歌王,UNIVERSAL INTERNATIONAL FILMS LLC,10597117,0,Danny Boyle,Lily James,Kate McKinnon,Ed Sheeran,no,Richard Curtis,2600萬,奇幻、喜劇,,1413,32,"878,822"
2019/6/25,安娜貝爾回家囉,WARNER BROS. PICTURES INTERNATIONAL.,84077501,0,Gary Dauberman,Vera Farmiga,Patrick Wilson,Mckenna Grace,Madison Iseman,Gary Dauberman,no,恐怖、驚悚、懸疑,,1659,118,1067446
2019/6/25,九龍不敗,天馬電影出品(香港)有限公司##天馬影聯影視文化(北京)有限公司##大名娛樂有限公司,1509112,0,陳果,張晉,鄭嘉穎,劉心悠,Anderson Silva,陳果,no,動作,,226,47,46182
