導演1搜尋,導演2搜尋,導演3搜尋,演員1搜尋,演員2搜尋,演員3搜尋,演員4搜尋,編劇1搜尋,編劇2搜尋,編劇3搜尋,編劇4搜尋
"42,700",,,"601,000","83,300","549,000","29,800","76,700",,,
"19,500",,,"407,000","1,120,000","168,000","105,000","30,800",,,
"30,900",,,"45,000",,,,"13,800",,,
"34,600",,,"275,000",,,,"138,000",,,
"364,000",,,"162,000","406,000","99,400","847,000","6,170",,,
"17,700",,,"164,000","205,000","259,000","59,200","27,100","2,600",,
"705,000",,,"1,850,000","686,000","56,700",,"362,000",,,
"5,710",,,"41,000","32,100","1,820",,"1,970",,,
"62,300",,,"27,400",,,,"9,190",,,
"14,200",,,"126,000","1,430,000",,,"8,270",,,
"108,000",,,"9,490,000","3,890,000","5,810,000",,,,,
"289,000",,,"121,000","318,000","234,000",,"56,800","167,000",,
"58,200",,,"1,100,000","18,500","14,900",,"62,900","261,000",,
"15,700",,,"2,510,000","469,000","5,880,000","113,000",,,,
"292,000",,,"201,000",352,258,"355,000",,,,
"47,800",,,"87,000",,,,"29,800","218,000",,
"93,600",,,"35,700","33,300",,,"77,000","5,420","11,800","8,100"
"332,000",,,"118,000","452,000","141,000","6,220,000","1,120,000",,,
"52,200",,,"113,000","408,000","122,000","55,200","21,400",,,
"1,940",,,389,"944,000",,,,,,
"843,000",,,"6,420,000","1,870,000","5,220,000","916,000","92,700","20,200",,
"342,000",,,"201,000","92,400","914,000","378,000","11,500",,,
"39,100",,,,,,,"26,100","12,300",,
"90,400","30,300",,"277,000",,,,,,,
"1,460,000",,,"1,200,000","67,200","43,700","1,090,000",84,,,
"112,000","2,590","19,000","471,000","338,000","637,000","102,000",354,"4,210",,
"432,000",,,"560,000","40,500","295,000","116,000","191,000",,,
"3,480",,,"977,000","205,000","216,000","2,150,000","4,110",,,
"329,000",,,"249,000","4,770,000",,,"47,000",,,
"8,600",,,"48,700","10,300",,,"8,040",,,
"406,000","440,000",,"1,150,000","216,000","273,000","226,000","82,900","58,200",,
"7,170",,,"84,400","362,000","54,700","41,800","4,110","9,420","41,400",
"77,400",,,"1,910,000","655,000","207,000",,"155,000",,,
"282,000",,,"2,860,000","5,420","826,000","1,090,000","119,000",,,
"80,800",,,"347,000","820,000",,,"19,700",,,
"1,400,000",,,"1,930,000","225,000","47,900","697,000","1,120,000",,,
"14,900",,,"12,500","247,000","102,000",,"1,340","1,070",,
"38,100","33,600",,"871,000","84,400",,,"43,700","46,200",,
"134,000",,,"93,600","244,000","402,000","2,350,000","381,000","25,200","77,800","73,900"
"8,880","24,200",,367,"979,000",,,,,,
"2,610",,,"32,600","9,990",,,"5,170",,,
"31,300",,,"35,400","380,000","54,400",,931,"12,400",,
"267,000",,,"571,000","117,000","217,000",,"7,590",,,
"7,450",,,"197,000","16,300","14,700","162,000","17,100",,,
"190,000",,,"245,000","116,000","358,000","33,300","7,760","12,100",,
"87,200",,,"177,000","318,000","417,000","65,300","30,000",,,
"49,700",,,"523,000","55,700",,,"47,300",,,
"466,000",,,"701,000","677,000","701,000","170,000","107,000",,,
"269,000",,,,,,,,,,
"26,600",,,"39,900","397,000","70,400",,"3,410",,,
"589,000",,,"1,740,000","283,000","394,000","22,200","12,100",,,
"8,640",,,"35,800","128,000","12,100",,"1,340","1,070",,
"21,800",,,"123,000","90,300",,,"310,000",,,
"12,300",,,"55,200","285,000","35,800","84,200,000","9,500",,,
"5,150",,,"162,000",,,,"1,570",6,,
"105,000",,,"82,000","134,000","2,770",,"54,300",352,280,
"163,000",,,"166,000","126,000","771,000",,"15,900",,,
"60,100",,,"1,330,000","13,700,000","277,000","107,000","58,600","960,000",532,
"21,700",,,"53,600","140,000","508,000",,"4,080,000",,,
"1,320,000",,,"1,030,000","132,000","160,000","28,500","968,000",,,
"31,800",,,"9,450",,,,"50,100","27,800",,
"148,000",,,"64,700",228,"41,800","73,900","119,000",,,
"1,230,000",,,"2,160,000","190,000","277,000","29,600","971,000",,,
"532,000",,,"469,000","234,000","871,000","14,700","3,120","24,000",,
"132,000",,,"1,370,000","46,000","760,000",,442,,,
"203,000",,,"147,000","848,000",,,"46,200",,,
"327,000",,,"422,000","43,900","323,000","913,000","33,200",,,
"877,000",,,"6,740,000","7,920,000","186,000","547,000","9,840,000","2,820,000",,
"176,000",,,"106,000","18,000","127,000",,"99,400",,,
"570,000",,,"1,480,000","25,400",,,"211,000",,,
"160,000","131,000",,"31,500","74,700",,,,,,
"56,400","42,300",,"82,600","110,000","27,200","470,000","12,900","11,900","9,460","26,200"
"1,090,000",,,"1,570,000","98,500","92,800",,"667,000",,,
"5,780",,,"377,000","35,600","204,000",,"71,400",,,
"63,000",,,"707,000","123,000","82,900","20,500",558,,,
"12,000",,,"120,000","9,820",,,"1,130","3,720",,
"151,000",,,"265,000",,,,"65,600",,,
"92,300",,,"217,000","45,600","422,000",,"71,600",,,
"51,700",,,"42,900","491,000",5,,457,,,
"197,000",,,"886,000","568,000","11,100","212,000","22,900",,,
326,,,244,"713,000",,,249,"4,280",,
"7,720,000",,,"1,210,000","21,600,000",,,"3,460,000",,,
"73,000",,,"12,300,000","7,830,000","153,000","603,000","246,000",,,
374,,,"394,000","31,800","401,000",,"40,600","5,050",,
"35,200",,,"7,530","6,810",,,"6,330",,,
