上映日期,中文片名,累計銷售金額,google trend,預告觀看次數,新類別,導演1_ig,演員1_ig,演員2_ig,編劇1_ig,導演1_twitter,演員1_twitter,演員2_twitter,編劇1_twitter,導演1搜尋,演員1搜尋,演員2搜尋,編劇1搜尋,like,dislike,month,revised_y,like_ratio,dislike_ratio,like_inverse,dislike_inverse,like_audience_ratio,dislike_audience_ratio
2019/9/20,星際救援,33548683,427,89661,2,-1,209914,1508,-1,16686.0,224254.0,41590.0,16686.0,3410000,781000.0,929000.0,945000.0,149,26,9,3,-0.5526928107006317,1.007220156691553,-0.04748124049995477,-0.47991254454366983,-0.045041382675536486,0.025918056321143572
2019/9/20,唐頓莊園,2417873,769,46384,3,-1,21369,25138,-1,1874.0,48030.0,6073.0,43314.0,137000,850000.0,122000.0,93600.0,586,8,9,1,0.40726268491044854,-0.4862008203372424,-0.12236727838042187,-0.056420780432909365,-0.053656615164626165,0.034904399987596944
2019/9/12,好小男孩,8131770,0,222160,0,-1,837321,-1,-1,,99992.0,190960.0,462.0,64500,80300.0,84800.0,56500.0,2657,64,9,2,0.33583448659560894,-0.3750786170658816,-0.14226916414921414,-0.5916673156284539,-0.21307355484608212,-0.03791561321319709
2019/9/12,再見了小Q,1114380,0,20288,3,-1,-1,187196,-1,,2027.0,504396.0,,493000,6160000.0,3430000.0,77900.0,266,13,9,0,0.171884359746947,-0.12001829422616314,-0.09165061584759664,-0.29169398271666513,-0.0463788304963143,0.03342275221945953
2019/9/12,衝擊真相,1822858,0,174021,3,-1,1569122,970,-1,245.0,958016.0,12033.0,128129.0,14600,89200.0,220000.0,81300.0,52,9,9,0,-0.5453711504287899,0.9958297108983477,0.13983930892802934,-0.12438859442599441,-0.04341532828932323,0.031179605840262848
2019/9/12,天氣之子,161790340,0,733542,5,38462,-1,-1,38462,745000.0,,,745000.0,1500000,22200.0,,343000.0,6751,73,9,3,0.42694785017556186,-0.5168254054118705,-0.14568417019318794,-0.6010943583227002,0.04627211397828584,0.05537361716089194
2019/9/12,我家有個開心農場,1647583,0,30819,3,-1,-1,-1,-1,9337.0,9337.0,1914.0,9337.0,66900,205000.0,77400.0,46100.0,234,2,9,0,0.4427427464278705,-0.541397825176159,-0.08395832343553013,1.7787101973803858,-0.0459347975692814,0.03727575695635368
2019/9/12,花椒之味,5743825,0,75218,3,15083,759476,20856,-1,,80569.0,70115.0,20846.0,414000,4040000.0,303000.0,1060000.0,298,36,9,0,-0.2628873878992244,0.5563643621811927,-0.0976908723053938,-0.5321954783845044,-0.04834844205672456,0.022308592903422134
2019/9/12,舞孃騙很大,6851569,0,93036,0,14034,106222773,949896,14034,15203.0,44190459.0,209000.0,15203.0,5760,1350000.0,13700.0,7900.0,129,19,9,2,-0.4092143539115782,0.7840079993570176,-0.031912362420748866,-0.41056886387056285,-0.0445858991736378,0.02903406278859894
2019/9/12,4x4危機四伏,836683,357,80063,4,2037,357427,7053,2037,4057.0,1661560.0,7968.0,4057.0,5870,20700.0,2000.0,14200.0,9,2,9,0,-0.788922246248331,1.3747267713747997,1.5145961934470376,1.7787101973803858,-0.04148332725307995,0.03711726173465149
2019/9/6,匿名的畫作,929115,0,8904,3,-1,-1,1685,-1,,123.0,0.0,,11100,2570.0,1330.0,6.0,93,2,9,0,0.35337140590666416,-0.402361135152742,0.012986273072186881,1.7787101973803858,-0.042984663034585695,0.037329486905959004
2019/9/6,大叔之愛電影版,6748977,0,263891,0,-1,3189,2943,-1,,8706.0,7760.0,37000.0,5,655000.0,725000.0,3.0,571,15,9,2,0.32108021427303607,-0.35212511569205057,-0.12169652814232,-0.3418855992038664,-0.1134573843546545,0.003215102952342467
2019/9/6,魔法禁界,3083507,0,785004,2,-1,18975,7717,-1,,,112187.0,,1720,508.0,12600.0,2120.0,19,4,9,1,-0.7327535625243539,1.2873440844596253,0.6395979315744742,0.5552895455048558,-0.041045028868867996,0.038856998683420706
2019/9/5,牠第二章,116212841,479,1226386,4,381684,-1,2885431,-1,1644.0,33053.0,799353.0,20.0,22900,91800.0,85500.0,34300.0,7595,182,9,3,0.33667593055692063,-0.3763876674005714,-0.14593046194124484,-0.6412427403953881,0.004391369800341832,0.058079850029407507
2019/8/30,未來無恙,1207158,0,133,3,-1,-1,-1,-1,,,,,16300,46900000.0,,,1,0,8,0,0.5029574794031513,-0.6350750276742058,14.814569773910002,-0.6681311063706744,-0.041282802231514634,0.03800802612317448
2019/8/30,極限逃生,31868118,0,91469,0,-1,10453367,38189,120,,26000.0,64000.0,7.0,182000,905000.0,1200000.0,42600.0,340,12,8,3,0.2607300308434985,-0.2582371903525173,-0.10389323858724216,-0.2603242224121644,-0.0499545546045484,0.03238135682637628
2019/8/30,巴黎之王闇黑正義,1013202,0,321965,2,-1,1123077,526590,-1,,5652.0,88179.0,,35900,34700.0,274000.0,5.0,61,3,8,0,0.16989473763362842,-0.11692300135688406,0.09738589388950869,0.9630964294633657,-0.01784827519553488,0.05913600485132224
2019/8/30,你願意嫁給我老公嗎,1639223,0,61244,3,-1,43111,1527801,-1,724.0,820207.0,852708.0,724.0,16900,1020000.0,471000.0,4920.0,243,7,8,0,0.30400800165282277,-0.32556555062065895,-0.08632655234943024,0.03096640898677132,-0.04671339075347364,0.035128530630346155
2019/8/30,使徒行者2諜影行動,4912942,651,107620,0,-1,1115,464980,-1,,26515.0,589466.0,,4520000,4110000.0,8860000.0,1160000.0,445,33,8,1,0.012421558470631958,0.12806101108603374,-0.11427697539617927,-0.5198376940221253,-0.05355679329875523,0.021284866478563043
2019/8/30,雙面特務,2597528,0,406733,1,391,894056,29695,391,20.0,7499.0,42086.0,20.0,47600,303000.0,452000.0,5330.0,0,2,8,1,-6.602381011680003,10.418834867095324,-0.14790050411083283,1.7787101973803858,-0.041264837054781754,0.040051886473889
2019/8/29,第九分局,56652782,0,610662,4,-1,2344,117963,-1,,431407.0,122682.0,9646.0,48900,390000.0,5.0,2250000.0,2818,84,8,3,0.2972895148094283,-0.31511347317364047,-0.14259089790855434,-0.6098729800908873,0.01008909710244776,0.06609179682212878
2019/8/28,劇場版FREE男子游泳部RoadtotheWorld夢,2600494,0,10391,5,-1,63022,2021,-1,,857000.0,53000.0,,3300,71800.0,1870000.0,59000.0,79,2,8,1,0.3275170228331969,-0.3621389808897729,0.04149785383879795,1.7787101973803858,-0.042733074400149076,0.037326091765463094
2019/8/23,貞子起源,3011128,0,29167,4,-1,995028,55264,-1,3125.0,1074000.0,7415.0,,77400,196000.0,519000.0,634.0,145,8,8,1,0.13143651254912989,-0.05709281095423034,-0.04471105391758572,-0.056420780432909365,-0.044141445197238255,0.03509632971069527
2019/8/23,下半場,22654911,405,178759,3,-1,158346,278,-1,,50496.0,2093.0,123.0,75000,190000.0,31900.0,1370.0,1414,46,8,3,0.27909065023203794,-0.28680115427735753,-0.13731884196230326,-0.5617467018597588,-0.10189246938700319,0.0018235381423917934
2019/8/23,光,854886,2765,101025,3,-1,35951,18230,-1,,,,,70900,18700.0,55200.0,279000.0,670,10,8,0,0.3984672074754582,-0.47251752922171264,-0.125568458919757,-0.17876284562046235,-0.0591809172113085,0.03310220628268957
2019/8/23,殺手寓言,1912920,0,26054,0,-1,-1,-1,-1,,12000.0,,35000.0,1680000,107000.0,128000.0,17200.0,105,5,8,0,0.1799875479902809,-0.1326245779119544,-0.005400787177301087,0.31060541512974976,-0.04332486422615266,0.03620833881002704
2019/8/21,全面攻佔3天使救援,146555942,607,324733,4,5911,2613532,359196,13868469,2366.0,532321.0,165859.0,,7830,75400.0,488000.0,47300.0,1632,53,8,3,0.27946612033644047,-0.2873852802422858,-0.13873232379341813,-0.5757974722668608,0.48414527315070505,0.3510463732707421
2019/8/21,航海王奪寶爭霸戰,54056953,0,394225,5,-1,-1,-1,1254,15000.0,,,,428000,147000.0,327000.0,44900.0,2779,69,8,3,0.3308126915222746,-0.3672661151955901,-0.14251638382367168,-0.597208170030064,0.13587928603259627,0.11870006590262795
2019/8/16,普羅米亞,14925052,0,48262,5,-1,-1,-1,-1,67000.0,,,,67400,596000.0,4.0,153000.0,424,20,8,2,0.18289718701201832,-0.13715115854044319,-0.1126116591155007,-0.4234469759955684,-0.05029583544256781,0.030192768387147465
2019/8/16,仙戒奇緣,1135840,0,13611,6,-1,-1,-1,-1,132.0,,,,152000,54600000.0,,,105,92,8,0,-2.815271663640758,4.527157004400904,-0.005400787177301087,-0.6149389041152167,-0.04323766731032906,0.0062954407675549365
2019/8/16,緝魔,11294649,0,502598,4,-1,19084,663567,-1,,66531.0,1049982.0,,79400,105000.0,307000.0,16000.0,144,24,8,2,-0.5120908764658711,0.9440549572928698,-0.04399446051346595,-0.4642276643914195,-0.03718654623115867,0.05047813780330583
