上映日期,中文片名,累計銷售金額,喜歡,不喜歡,預告觀看次數,類型,出品,google trend,導演,演員1,演員2,演員3,演員4,編劇,製片預算
2018/9/7,屍控警戒,230010,118,23,80673,動作、恐怖,,,,,,,,,
2018/9/7,婚禮冤家,6323183,84,3,112978,劇情、通俗,,,,,,,,,
2018/9/7,與神同行的少年,263815,78,10,9680,劇情,,,,,,,,,
2018/9/7,北風,2338381,294,12,53432,驚悚、劇情,,,,,,,,,
2018/9/7,虹色時光,171794,118,3,7795,動畫,,,,,,,,,
2018/9/7,青夏：戀上你的30日,162943,117,6,11027,愛情、劇情,,,,,,,,,
2018/9/7,我們的50次初吻,678150,263,8,36667,愛情、喜劇,,,,,,,,,
2018/9/6,鬼修女,112675402,2849,188,758619,推理、驚悚,,,,,,,,,
2018/9/1,銀魂2特別篇：世界奇妙銀魂醬,481686,3,1,1136,劇情,,,,,,,,,
2017/9/29,販賣愛情,131885,113,19,41298,劇情,,,,,,,,,
2017/9/29,驚狂,68210,0,0,0,推理、驚悚 ,,,,,,,,,
2017/9/29,雙峰：與火同行,72755,19,2,7284,奇幻、劇情,,,,,,,,,
2017/9/29,極地追擊,13203257,649,40,213570,推理、劇情,,,,,,,,,
2017/9/29,橡皮頭,61515,9,1,1438,奇幻、推理,,,,,,,,,
2017/9/29,煉獄迷宮,43260,16,2,14637,奇幻、恐怖,,,,,,,,,
2017/9/29,我在快打求旋風,144825,298,19,47953,紀錄,,,,,,,,,
2017/9/29,密弒逃脫,524491,406,28,194593,恐怖、懸疑、驚悚,,,,,,,,,
2017/9/29,宣告黎明的露之歌,199914,270,14,34098,奇幻、冒險,,,,,,,,,
2017/9/29,心之物語,128695,96,2,22033,奇幻、劇情 ,,,,,,,,,
2017/9/29,亂,213395,85,5,16682,動作、劇情,,,,,,,,,
2017/9/29,追龍,47549356,814,160,704139,犯罪、劇情,,,,,,,,,
2017/9/29,春宵苦短，少女前進吧！,684206,269,3,35897,奇幻、愛情,,,,,,,,,
2017/9/29,穆荷蘭大道,1662000,30,3,17468,推理、劇情,,,,,,,,,
2017/9/29,老師你會不會回來,38874129,1261,57,173494,劇情 ,,,,,,,,,
2017/9/29,絕代天后黛莉達,236542,82,1,28561,音樂、劇情,,,,,,,,,
2017/9/29,母親！,8575557,340,33,112004,推理、劇情,,,,,,,,,
2017/9/28,V?I?P?,1254773,150,10,50342,犯罪、驚悚,,,,,,,,,
2017/9/22,不願面對的真相2,723385,112,15,22285,紀錄,,,,,,,,,
2017/9/22,鬥陣俱樂部,1240062,332,8,48157,驚悚、劇情,,,,,,,,,
2017/9/22,愛過了,220770,59,30,24833,劇情,,,,,,,,,
2017/9/22,暗夜鬼抓床,58685,135,14,41122,恐怖 ,,,,,,,,,
2017/9/22,白晝的流星,703749,223,5,147788,愛情,,,,,,,,,
2017/9/22,刑弒厲,6979590,266,29,104214,推理、驚悚,,,,,,,,,
2017/9/22,凱特布蘭琪：宣言13,333315,78,2,19114,劇情,,,,,,,,,
2017/9/22,親愛的大笨象,304765,200,1,19274,劇情,,,,,,,,,
2017/9/22,自畫像,1556885,260,33,250782,劇情,,,,,,,,,
2017/9/20,金牌特務：機密對決,334119380,3754,113,733047,動作、冒險 ,,,,,,,,,
2017/9/18,三十ㄦ立,1552180,135,17,146931,劇情 ,,,,,,,,,
2017/9/15,煙花,13582430,1984,70,330468,奇幻、劇情,,,,,,,,,
2017/9/15,仿聲靈,1032033,244,24,72788,奇幻、劇情,,,,,,,,,
2017/9/15,3月的獅子後篇,422623,89,7,281571,劇情,,,,,,,,,
2017/9/15,金牌特勤隊,1781963,136,10,41175,驚悚、動作,,,,,,,,,
2017/9/15,少女車神,299569,10,0,71803,體育、劇情,,,,,,,,,
2017/9/15,倫敦呼叫,366315,31,0,6799,音樂、劇情,,,,,,,,,
2017/9/15,愛情齡距離,3714023,96,7,80826,愛情、劇情,,,,,,,,,
2017/9/15,閨蜜假期,6935081,183,12,169421,喜劇、公路,,,,,,,,,
2017/9/15,曼菲,1289285,133,2,21576,紀錄 ,,,,,,,,,
2017/9/15,地圖的盡頭,15921240,158,18,36347,劇情,,,,,,,,,
2017/9/13,美國刺客,18285637,400,14,90511,驚悚、動作,,,,,,,,,
2017/9/8,愛情昏迷中,2322353,291,8,1048405,愛情、劇情,,,,,,,,,
2017/9/8,青春後空翻,1225539,139,16,129765,喜劇、戲劇,,,,,,,,,
2017/9/8,那年夏天的微光,229400,185,8,63591,劇情,,,,,,,,,
2017/9/8,3月的獅子前篇,507885,97,5,24416,劇情,,,,,,,,,
